feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant
anger,pstance,Bernie Sanders,AGAINST,target,0.0092,0.025,0.4695,0.2446,medium,small,False,Cliff's delta,small,yes
joy,pstance,Bernie Sanders,AGAINST,target,0.2026,0.001,-0.2609,-0.3587,small,medium,False,Cliff's delta,medium,yes
fear,pstance,Bernie Sanders,AGAINST,target,0.6796,0.5738,0.0774,0.0616,small,negligible,False,Cliff's delta,negligible,no
sadness,pstance,Bernie Sanders,AGAINST,target,0.442,0.19,-0.153,-0.1431,small,negligible,False,Cliff's delta,negligible,no
disgust,pstance,Bernie Sanders,AGAINST,target,0.7215,0.4561,-0.0694,-0.0815,small,negligible,False,Cliff's delta,negligible,no
surprise,pstance,Bernie Sanders,AGAINST,target,0.0991,0.0065,-0.32,-0.2971,medium,small,False,Cliff's delta,small,yes
certainty_adverbs_count,pstance,Bernie Sanders,AGAINST,target,0.3139,0.4693,-0.1992,-0.064,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,pstance,Bernie Sanders,AGAINST,target,0.7255,0.7298,-0.0664,-0.0341,small,negligible,False,Cliff's delta,negligible,no
certainty_adjectives_count,pstance,Bernie Sanders,AGAINST,target,0.4674,0.5204,0.1346,0.0625,small,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,pstance,Bernie Sanders,AGAINST,target,0.5916,0.645,-0.1027,-0.0444,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,pstance,Bernie Sanders,AGAINST,target,0.3209,0.4141,0.1566,0.0145,small,negligible,False,Cliff's delta,negligible,no
doubt_adjectives_count,pstance,Bernie Sanders,AGAINST,target,0.1956,0.1763,-0.2559,-0.0924,small,negligible,False,Cliff's delta,negligible,no
hedges_score,pstance,Bernie Sanders,AGAINST,target,0.6514,0.8406,0.0846,0.0175,small,negligible,False,Cliff's delta,negligible,no
hedge_C_count,pstance,Bernie Sanders,AGAINST,target,0.3234,0.3319,-0.1865,-0.106,small,negligible,False,Cliff's delta,negligible,no
hedge_D_count,pstance,Bernie Sanders,AGAINST,target,0.4846,0.5894,0.1266,0.0362,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,pstance,Bernie Sanders,AGAINST,target,0.6113,0.8103,-0.102,-0.0124,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,pstance,Bernie Sanders,AGAINST,target,0.1595,0.0909,-0.3227,-0.0417,medium,negligible,False,Cliff's delta,negligible,no
hedge_N_count,pstance,Bernie Sanders,AGAINST,target,0.7752,0.9635,-0.0571,0.0027,small,negligible,False,Cliff's delta,negligible,no
C_ratio,pstance,Bernie Sanders,AGAINST,target,0.9996,0.8351,-0.0001,-0.0181,small,negligible,False,Cliff's delta,negligible,no
D_ratio,pstance,Bernie Sanders,AGAINST,target,0.1733,0.5628,0.2306,0.0389,small,negligible,False,Cliff's delta,negligible,no
E_ratio,pstance,Bernie Sanders,AGAINST,target,0.4159,0.7873,-0.1697,-0.0139,small,negligible,False,Cliff's delta,negligible,no
I_ratio,pstance,Bernie Sanders,AGAINST,target,0.1595,0.0909,-0.3227,-0.0417,medium,negligible,False,Cliff's delta,negligible,no
N_ratio,pstance,Bernie Sanders,AGAINST,target,0.9102,0.9772,0.0205,0.0018,small,negligible,False,Cliff's delta,negligible,no
word_count,pstance,Bernie Sanders,FAVOR,target,0.3656,0.3316,-0.3862,-0.2031,medium,small,False,Cliff's delta,small,no
sentence_count,pstance,Bernie Sanders,FAVOR,target,0.8691,0.5919,0.0808,0.1094,small,negligible,False,Cliff's delta,negligible,no
avg_word_length,pstance,Bernie Sanders,FAVOR,target,0.014,0.0087,0.9946,0.5481,large,large,True,Cohen's d,large,yes
std_word_length,pstance,Bernie Sanders,FAVOR,target,0.0258,0.0273,0.7933,0.4612,large,medium,True,Cohen's d,large,yes
type_token_ratio,pstance,Bernie Sanders,FAVOR,target,0.4971,0.7215,0.4295,0.075,medium,negligible,False,Cliff's delta,negligible,no
hapax_legomena,pstance,Bernie Sanders,FAVOR,target,0.6203,0.6489,0.2609,0.0956,small,negligible,False,Cliff's delta,negligible,no
stopword_ratio,pstance,Bernie Sanders,FAVOR,target,0.9953,0.8199,-0.0037,-0.0481,small,negligible,True,Cohen's d,small,no
punctuation_density,pstance,Bernie Sanders,FAVOR,target,0.301,0.1977,-1.2522,-0.2694,large,small,False,Cliff's delta,small,no
noun_ratio,pstance,Bernie Sanders,FAVOR,target,0.7604,0.0855,0.2049,0.3594,small,medium,False,Cliff's delta,medium,no
verb_ratio,pstance,Bernie Sanders,FAVOR,target,0.6705,0.6597,0.1604,0.0925,small,negligible,True,Cohen's d,small,no
adj_ratio,pstance,Bernie Sanders,FAVOR,target,0.5737,0.9498,0.1274,-0.0138,small,negligible,False,Cliff's delta,negligible,no
adv_ratio,pstance,Bernie Sanders,FAVOR,target,0.093,0.0512,-0.8145,-0.4044,large,medium,False,Cliff's delta,medium,no
pronoun_ratio,pstance,Bernie Sanders,FAVOR,target,0.3925,0.3405,-0.3407,-0.1994,medium,small,False,Cliff's delta,small,no
avg_dependency_depth,pstance,Bernie Sanders,FAVOR,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,pstance,Bernie Sanders,FAVOR,target,0.8644,0.2379,-0.1057,-0.2469,small,small,False,Cliff's delta,small,no
punctuation_usage,pstance,Bernie Sanders,FAVOR,target,0.8399,0.7192,-0.1098,0.0756,small,negligible,False,Cliff's delta,negligible,no
readability_score,pstance,Bernie Sanders,FAVOR,target,0.9586,0.6749,-0.026,0.0881,small,negligible,False,Cliff's delta,negligible,no
sentence_length_variation,pstance,Bernie Sanders,FAVOR,target,0.8045,0.7803,-0.1165,-0.0587,small,negligible,False,Cliff's delta,negligible,no
subordinate_clause_ratio,pstance,Bernie Sanders,FAVOR,target,0.1346,0.0962,-0.4932,-0.3469,medium,medium,False,Cliff's delta,medium,no
sentiment_polarity,pstance,Bernie Sanders,FAVOR,target,0.3909,0.4678,-0.2854,-0.1519,small,small,False,Cliff's delta,small,no
sentiment_subjectivity,pstance,Bernie Sanders,FAVOR,target,0.7518,0.7988,0.0579,0.0537,small,negligible,False,Cliff's delta,negligible,no
anger,pstance,Bernie Sanders,FAVOR,target,0.3214,0.1522,-0.5218,-0.3013,medium,small,False,Cliff's delta,small,no
joy,pstance,Bernie Sanders,FAVOR,target,0.0,0.0189,0.5167,0.4825,medium,large,False,Cliff's delta,large,yes
fear,pstance,Bernie Sanders,FAVOR,target,0.593,0.6148,0.1933,0.1075,small,negligible,False,Cliff's delta,negligible,no
sadness,pstance,Bernie Sanders,FAVOR,target,0.1852,0.021,-1.573,-0.475,large,large,False,Cliff's delta,large,yes
disgust,pstance,Bernie Sanders,FAVOR,target,0.1954,0.2826,0.1021,-0.2275,small,small,False,Cliff's delta,small,no
surprise,pstance,Bernie Sanders,FAVOR,target,0.024,0.9602,0.2684,-0.0112,small,negligible,False,Cliff's delta,negligible,yes
certainty_adverbs_count,pstance,Bernie Sanders,FAVOR,target,0.7159,0.997,-0.1971,-0.0013,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,pstance,Bernie Sanders,FAVOR,target,0.6529,0.906,0.1032,-0.0231,small,negligible,False,Cliff's delta,negligible,no
certainty_adjectives_count,pstance,Bernie Sanders,FAVOR,target,0.2348,0.1183,-0.4084,-0.2988,medium,small,False,Cliff's delta,small,no
doubt_adverbs_count,pstance,Bernie Sanders,FAVOR,target,0.061,0.0119,-0.9842,-0.455,large,medium,False,Cliff's delta,medium,yes
doubt_verbs_count,pstance,Bernie Sanders,FAVOR,target,0.1102,0.0,-1.5555,-0.335,large,medium,False,Cliff's delta,medium,yes
doubt_adjectives_count,pstance,Bernie Sanders,FAVOR,target,0.8398,0.9036,0.0709,0.02,small,negligible,False,Cliff's delta,negligible,no
hedges_score,pstance,Bernie Sanders,FAVOR,target,0.7291,0.7702,0.1246,0.0413,small,negligible,False,Cliff's delta,negligible,no
hedge_C_count,pstance,Bernie Sanders,FAVOR,target,0.4804,0.5078,-0.2627,-0.1388,small,negligible,False,Cliff's delta,negligible,no
hedge_D_count,pstance,Bernie Sanders,FAVOR,target,0.0037,0.5463,0.2116,0.045,small,negligible,False,Cliff's delta,negligible,yes
hedge_E_count,pstance,Bernie Sanders,FAVOR,target,0.0044,0.571,0.2072,0.04,small,negligible,False,Cliff's delta,negligible,yes
hedge_I_count,pstance,Bernie Sanders,FAVOR,target,0.0833,0.7387,0.1252,0.015,small,negligible,False,Cliff's delta,negligible,no
hedge_N_count,pstance,Bernie Sanders,FAVOR,target,0.7603,0.9113,-0.1538,-0.0138,small,negligible,False,Cliff's delta,negligible,no
C_ratio,pstance,Bernie Sanders,FAVOR,target,0.7657,0.8505,0.1759,-0.0262,small,negligible,False,Cliff's delta,negligible,no
D_ratio,pstance,Bernie Sanders,FAVOR,target,0.0033,0.5463,0.2141,0.045,small,negligible,False,Cliff's delta,negligible,yes
E_ratio,pstance,Bernie Sanders,FAVOR,target,0.0054,0.5711,0.2025,0.04,small,negligible,False,Cliff's delta,negligible,yes
I_ratio,pstance,Bernie Sanders,FAVOR,target,0.0974,0.7387,0.1198,0.015,small,negligible,False,Cliff's delta,negligible,no
N_ratio,pstance,Bernie Sanders,FAVOR,target,0.5908,0.8694,-0.419,-0.02,medium,negligible,False,Cliff's delta,negligible,no
word_count,pstance,Joe Biden,AGAINST,target,0.3608,0.415,-0.2321,-0.1056,small,negligible,False,Cliff's delta,negligible,no
sentence_count,pstance,Joe Biden,AGAINST,target,0.7633,0.6673,-0.0654,-0.0542,small,negligible,False,Cliff's delta,negligible,no
avg_word_length,pstance,Joe Biden,AGAINST,target,0.4952,0.5999,0.1465,0.0681,small,negligible,False,Cliff's delta,negligible,no
std_word_length,pstance,Joe Biden,AGAINST,target,0.28,0.1141,-0.2004,-0.2046,small,small,False,Cliff's delta,small,no
type_token_ratio,pstance,Joe Biden,AGAINST,target,0.0412,0.0228,0.4931,0.2947,medium,small,False,Cliff's delta,small,yes
hapax_legomena,pstance,Joe Biden,AGAINST,target,0.134,0.0784,0.3177,0.2279,medium,small,False,Cliff's delta,small,no
stopword_ratio,pstance,Joe Biden,AGAINST,target,0.5974,0.752,0.1314,0.0411,small,negligible,True,Cohen's d,small,no
punctuation_density,pstance,Joe Biden,AGAINST,target,0.4127,0.4753,-0.1867,-0.0926,small,negligible,False,Cliff's delta,negligible,no
noun_ratio,pstance,Joe Biden,AGAINST,target,0.3213,0.2581,-0.1959,-0.1465,small,negligible,False,Cliff's delta,negligible,no
verb_ratio,pstance,Joe Biden,AGAINST,target,0.0363,0.0655,0.4044,0.2385,medium,small,True,Cohen's d,medium,yes
adj_ratio,pstance,Joe Biden,AGAINST,target,0.121,0.0826,-0.3571,-0.2235,medium,small,False,Cliff's delta,small,no
adv_ratio,pstance,Joe Biden,AGAINST,target,0.0068,0.13,0.4117,0.1949,medium,small,False,Cliff's delta,small,yes
pronoun_ratio,pstance,Joe Biden,AGAINST,target,0.8914,0.9487,0.0295,0.0085,small,negligible,False,Cliff's delta,negligible,no
avg_dependency_depth,pstance,Joe Biden,AGAINST,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,pstance,Joe Biden,AGAINST,target,0.6215,0.8148,0.123,0.0305,small,negligible,True,Cohen's d,small,no
punctuation_usage,pstance,Joe Biden,AGAINST,target,0.6663,0.9962,-0.0919,0.0008,small,negligible,False,Cliff's delta,negligible,no
readability_score,pstance,Joe Biden,AGAINST,target,0.7099,0.4537,-0.0836,-0.0971,small,negligible,False,Cliff's delta,negligible,no
sentence_length_variation,pstance,Joe Biden,AGAINST,target,0.5688,0.5233,-0.1327,-0.082,small,negligible,False,Cliff's delta,negligible,no
subordinate_clause_ratio,pstance,Joe Biden,AGAINST,target,0.0517,0.0634,0.4153,0.2395,medium,small,False,Cliff's delta,small,no
sentiment_polarity,pstance,Joe Biden,AGAINST,target,0.0431,0.0062,-0.5347,-0.3504,medium,medium,False,Cliff's delta,medium,yes
sentiment_subjectivity,pstance,Joe Biden,AGAINST,target,0.3848,0.4281,-0.1962,-0.1023,small,negligible,False,Cliff's delta,negligible,no
anger,pstance,Joe Biden,AGAINST,target,0.1996,0.1763,0.2916,0.1752,small,small,False,Cliff's delta,small,no
joy,pstance,Joe Biden,AGAINST,target,0.2307,0.0004,-0.5503,-0.4587,medium,medium,False,Cliff's delta,medium,yes
fear,pstance,Joe Biden,AGAINST,target,0.8501,0.4423,0.0439,0.0996,small,negligible,False,Cliff's delta,negligible,no
sadness,pstance,Joe Biden,AGAINST,target,0.9611,0.5077,-0.0137,0.0859,small,negligible,False,Cliff's delta,negligible,no
disgust,pstance,Joe Biden,AGAINST,target,0.001,0.0687,0.2587,0.2358,small,small,False,Cliff's delta,small,yes
surprise,pstance,Joe Biden,AGAINST,target,0.4643,0.518,-0.1822,-0.0839,small,negligible,False,Cliff's delta,negligible,no
certainty_adverbs_count,pstance,Joe Biden,AGAINST,target,0.5417,0.8897,0.1091,0.0141,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,pstance,Joe Biden,AGAINST,target,0.41,0.1788,0.2043,0.1534,small,small,False,Cliff's delta,small,no
certainty_adjectives_count,pstance,Joe Biden,AGAINST,target,0.3097,0.2951,-0.2812,-0.1152,small,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,pstance,Joe Biden,AGAINST,target,0.9402,0.9693,0.0167,0.0046,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,pstance,Joe Biden,AGAINST,target,0.5633,0.3983,-0.1903,-0.0272,small,negligible,False,Cliff's delta,negligible,no
doubt_adjectives_count,pstance,Joe Biden,AGAINST,target,0.3127,0.2089,-0.2634,-0.1071,small,negligible,False,Cliff's delta,negligible,no
hedges_score,pstance,Joe Biden,AGAINST,target,0.7599,0.7591,-0.0728,-0.0322,small,negligible,False,Cliff's delta,negligible,no
hedge_C_count,pstance,Joe Biden,AGAINST,target,0.7702,0.9207,-0.0696,-0.0131,small,negligible,False,Cliff's delta,negligible,no
hedge_D_count,pstance,Joe Biden,AGAINST,target,0.2171,0.402,0.1932,0.0554,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,pstance,Joe Biden,AGAINST,target,0.2551,0.5889,0.1688,0.0403,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,pstance,Joe Biden,AGAINST,target,0.1578,0.6607,0.1003,0.0091,small,negligible,False,Cliff's delta,negligible,no
hedge_N_count,pstance,Joe Biden,AGAINST,target,0.5546,0.4371,-0.1487,-0.0504,small,negligible,False,Cliff's delta,negligible,no
C_ratio,pstance,Joe Biden,AGAINST,target,0.5692,0.8722,-0.1089,-0.0168,small,negligible,False,Cliff's delta,negligible,no
D_ratio,pstance,Joe Biden,AGAINST,target,0.155,0.4097,0.1938,0.0546,small,negligible,False,Cliff's delta,negligible,no
E_ratio,pstance,Joe Biden,AGAINST,target,0.1565,0.6048,0.1858,0.0386,small,negligible,False,Cliff's delta,negligible,no
I_ratio,pstance,Joe Biden,AGAINST,target,0.1632,0.6607,0.099,0.0091,small,negligible,False,Cliff's delta,negligible,no
N_ratio,pstance,Joe Biden,AGAINST,target,0.5104,0.4203,-0.1844,-0.0523,small,negligible,False,Cliff's delta,negligible,no
word_count,pstance,Joe Biden,FAVOR,target,0.4945,0.6476,0.1324,0.0557,small,negligible,False,Cliff's delta,negligible,no
sentence_count,pstance,Joe Biden,FAVOR,target,0.7781,0.5183,0.0669,0.0765,small,negligible,False,Cliff's delta,negligible,no
avg_word_length,pstance,Joe Biden,FAVOR,target,0.7443,0.3795,0.0713,0.1069,small,negligible,False,Cliff's delta,negligible,no
std_word_length,pstance,Joe Biden,FAVOR,target,0.045,0.0465,0.4136,0.2418,medium,small,False,Cliff's delta,small,yes
type_token_ratio,pstance,Joe Biden,FAVOR,target,0.1219,0.1513,-0.3067,-0.1742,medium,small,False,Cliff's delta,small,no
hapax_legomena,pstance,Joe Biden,FAVOR,target,0.348,0.2743,-0.2102,-0.1328,small,negligible,False,Cliff's delta,negligible,no
stopword_ratio,pstance,Joe Biden,FAVOR,target,0.0296,0.022,-0.4515,-0.2782,medium,small,True,Cohen's d,medium,yes
punctuation_density,pstance,Joe Biden,FAVOR,target,0.0168,0.0072,0.5683,0.3266,medium,small,True,Cohen's d,medium,yes
noun_ratio,pstance,Joe Biden,FAVOR,target,0.0121,0.0188,0.5009,0.2854,medium,small,False,Cliff's delta,small,yes
verb_ratio,pstance,Joe Biden,FAVOR,target,0.0121,0.0128,-0.5325,-0.3022,medium,small,True,Cohen's d,medium,yes
adj_ratio,pstance,Joe Biden,FAVOR,target,0.2314,0.2913,0.2344,0.1277,small,negligible,False,Cliff's delta,negligible,no
adv_ratio,pstance,Joe Biden,FAVOR,target,0.0153,0.0041,-0.5064,-0.3364,medium,medium,False,Cliff's delta,medium,yes
pronoun_ratio,pstance,Joe Biden,FAVOR,target,0.9001,0.7447,0.029,0.0395,small,negligible,False,Cliff's delta,negligible,no
avg_dependency_depth,pstance,Joe Biden,FAVOR,target,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,pstance,Joe Biden,FAVOR,target,0.0539,0.0366,-0.4076,-0.2539,medium,small,True,Cohen's d,medium,yes
punctuation_usage,pstance,Joe Biden,FAVOR,target,0.7564,0.4274,0.0717,0.0965,small,negligible,False,Cliff's delta,negligible,no
readability_score,pstance,Joe Biden,FAVOR,target,0.7337,0.8541,0.0732,0.0225,small,negligible,False,Cliff's delta,negligible,no
sentence_length_variation,pstance,Joe Biden,FAVOR,target,0.7073,1.0,-0.0995,-0.0002,small,negligible,False,Cliff's delta,negligible,no
subordinate_clause_ratio,pstance,Joe Biden,FAVOR,target,0.133,0.1018,-0.438,-0.1961,medium,small,False,Cliff's delta,small,no
sentiment_polarity,pstance,Joe Biden,FAVOR,target,0.0323,0.0551,0.4443,0.2306,medium,small,False,Cliff's delta,small,yes
sentiment_subjectivity,pstance,Joe Biden,FAVOR,target,0.6517,0.4764,0.0995,0.0863,small,negligible,False,Cliff's delta,negligible,no
anger,pstance,Joe Biden,FAVOR,target,0.0078,0.0012,-0.9881,-0.3931,large,medium,False,Cliff's delta,medium,yes
joy,pstance,Joe Biden,FAVOR,target,0.0,0.0,0.7487,0.575,large,large,False,Cliff's delta,large,yes
fear,pstance,Joe Biden,FAVOR,target,0.9732,0.9177,0.0072,-0.0127,small,negligible,False,Cliff's delta,negligible,no
sadness,pstance,Joe Biden,FAVOR,target,0.5111,0.6859,0.1235,-0.0493,small,negligible,False,Cliff's delta,negligible,no
disgust,pstance,Joe Biden,FAVOR,target,0.1424,0.0012,-0.8471,-0.3948,large,medium,False,Cliff's delta,medium,yes
surprise,pstance,Joe Biden,FAVOR,target,0.5334,0.4892,-0.1852,0.0841,small,negligible,False,Cliff's delta,negligible,no
certainty_adverbs_count,pstance,Joe Biden,FAVOR,target,0.7229,0.5668,-0.0733,-0.0531,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,pstance,Joe Biden,FAVOR,target,0.3148,0.5952,0.1738,0.0582,small,negligible,False,Cliff's delta,negligible,no
certainty_adjectives_count,pstance,Joe Biden,FAVOR,target,0.0001,0.0105,0.5497,0.2843,medium,small,False,Cliff's delta,small,yes
doubt_adverbs_count,pstance,Joe Biden,FAVOR,target,0.8858,0.7397,-0.0283,-0.0331,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,pstance,Joe Biden,FAVOR,target,0.0833,0.5149,0.1382,0.0166,small,negligible,False,Cliff's delta,negligible,no
doubt_adjectives_count,pstance,Joe Biden,FAVOR,target,0.407,0.5478,0.141,0.0399,small,negligible,False,Cliff's delta,negligible,no
hedges_score,pstance,Joe Biden,FAVOR,target,0.0077,0.0,-0.8807,-0.2975,large,small,False,Cliff's delta,small,yes
hedge_C_count,pstance,Joe Biden,FAVOR,target,0.7948,0.9665,0.0511,0.0053,small,negligible,False,Cliff's delta,negligible,no
hedge_D_count,pstance,Joe Biden,FAVOR,target,0.5019,0.2044,-0.1544,-0.0484,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,pstance,Joe Biden,FAVOR,target,0.0826,0.0012,-0.6983,-0.1317,medium,negligible,False,Cliff's delta,negligible,yes
hedge_I_count,pstance,Joe Biden,FAVOR,target,0.3187,0.7155,0.0793,0.0055,small,negligible,False,Cliff's delta,negligible,no
hedge_N_count,pstance,Joe Biden,FAVOR,target,0.0186,0.0001,-0.9872,-0.2225,large,small,False,Cliff's delta,small,yes
C_ratio,pstance,Joe Biden,FAVOR,target,0.0124,0.0004,1.0316,0.259,large,small,False,Cliff's delta,small,yes
D_ratio,pstance,Joe Biden,FAVOR,target,0.3682,0.1966,-0.268,-0.0493,small,negligible,False,Cliff's delta,negligible,no
E_ratio,pstance,Joe Biden,FAVOR,target,0.1118,0.0012,-0.5263,-0.1317,medium,negligible,False,Cliff's delta,negligible,yes
I_ratio,pstance,Joe Biden,FAVOR,target,0.3187,0.7155,0.0793,0.0055,small,negligible,False,Cliff's delta,negligible,no
N_ratio,pstance,Joe Biden,FAVOR,target,0.0207,0.0001,-0.9406,-0.2208,large,small,False,Cliff's delta,small,yes
word_count,semeval,ALL,AGAINST,overall,0.0595,0.1069,0.2263,0.1122,small,negligible,False,Cliff's delta,negligible,no
sentence_count,semeval,ALL,AGAINST,overall,0.2238,0.1863,0.1501,0.0863,small,negligible,False,Cliff's delta,negligible,no
avg_word_length,semeval,ALL,AGAINST,overall,0.0936,0.1395,-0.2579,-0.103,small,negligible,False,Cliff's delta,negligible,no
std_word_length,semeval,ALL,AGAINST,overall,0.0652,0.0477,-0.3087,-0.138,medium,negligible,False,Cliff's delta,negligible,yes
type_token_ratio,semeval,ALL,AGAINST,overall,0.6908,0.8186,-0.0444,-0.016,small,negligible,False,Cliff's delta,negligible,no
hapax_legomena,semeval,ALL,AGAINST,overall,0.6586,0.6728,-0.0486,-0.0295,small,negligible,False,Cliff's delta,negligible,no
stopword_ratio,semeval,ALL,AGAINST,overall,0.519,0.4201,0.0829,0.0562,small,negligible,True,Cohen's d,small,no
punctuation_density,semeval,ALL,AGAINST,overall,0.5308,0.6171,-0.0858,-0.0349,small,negligible,False,Cliff's delta,negligible,no
noun_ratio,semeval,ALL,AGAINST,overall,0.3703,0.4242,0.1033,0.0557,small,negligible,False,Cliff's delta,negligible,no
verb_ratio,semeval,ALL,AGAINST,overall,0.1622,0.2009,-0.1523,-0.0892,small,negligible,False,Cliff's delta,negligible,no
adj_ratio,semeval,ALL,AGAINST,overall,0.1036,0.1112,-0.2036,-0.1104,small,negligible,False,Cliff's delta,negligible,no
adv_ratio,semeval,ALL,AGAINST,overall,0.0067,0.0051,-0.3743,-0.1843,medium,small,False,Cliff's delta,small,yes
pronoun_ratio,semeval,ALL,AGAINST,overall,0.3284,0.4725,0.1148,0.0495,small,negligible,False,Cliff's delta,negligible,no
avg_dependency_depth,semeval,ALL,AGAINST,overall,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,semeval,ALL,AGAINST,overall,0.7465,0.6765,-0.0409,-0.0291,small,negligible,True,Cohen's d,small,no
punctuation_usage,semeval,ALL,AGAINST,overall,0.4219,0.324,0.0989,0.0684,small,negligible,False,Cliff's delta,negligible,no
readability_score,semeval,ALL,AGAINST,overall,0.5956,0.733,-0.0695,-0.0238,small,negligible,False,Cliff's delta,negligible,no
sentence_length_variation,semeval,ALL,AGAINST,overall,0.0206,0.0204,0.2757,0.1604,small,small,False,Cliff's delta,small,yes
subordinate_clause_ratio,semeval,ALL,AGAINST,overall,0.8782,0.3913,-0.017,-0.0573,small,negligible,False,Cliff's delta,negligible,no
sentiment_polarity,semeval,ALL,AGAINST,overall,0.3333,0.2612,-0.1183,-0.0752,small,negligible,False,Cliff's delta,negligible,no
sentiment_subjectivity,semeval,ALL,AGAINST,overall,0.1829,0.1622,-0.1592,-0.0954,small,negligible,False,Cliff's delta,negligible,no
anger,semeval,ALL,AGAINST,overall,0.559,0.0379,-0.0702,-0.1447,small,negligible,False,Cliff's delta,negligible,yes
joy,semeval,ALL,AGAINST,overall,0.1133,0.0276,-0.2209,-0.1536,small,small,False,Cliff's delta,small,yes
fear,semeval,ALL,AGAINST,overall,0.1072,0.0201,0.191,0.162,small,small,False,Cliff's delta,small,yes
sadness,semeval,ALL,AGAINST,overall,0.9331,0.8444,0.0101,-0.0137,small,negligible,False,Cliff's delta,negligible,no
disgust,semeval,ALL,AGAINST,overall,0.5897,0.9336,0.058,0.0058,small,negligible,False,Cliff's delta,negligible,no
surprise,semeval,ALL,AGAINST,overall,0.9172,0.0148,-0.0092,-0.17,small,small,False,Cliff's delta,small,yes
certainty_adverbs_count,semeval,ALL,AGAINST,overall,0.2036,0.2587,-0.1773,-0.0477,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,semeval,ALL,AGAINST,overall,0.9342,0.8097,0.0102,0.0136,small,negligible,False,Cliff's delta,negligible,no
certainty_adjectives_count,semeval,ALL,AGAINST,overall,0.5471,0.7731,0.0681,0.0162,small,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,semeval,ALL,AGAINST,overall,0.8705,0.9394,0.0192,0.0039,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,semeval,ALL,AGAINST,overall,0.462,0.5316,0.0756,0.0103,small,negligible,False,Cliff's delta,negligible,no
doubt_adjectives_count,semeval,ALL,AGAINST,overall,0.4908,0.6006,-0.093,-0.0187,small,negligible,False,Cliff's delta,negligible,no
hedges_score,semeval,ALL,AGAINST,overall,0.8603,0.7966,-0.0215,-0.0107,small,negligible,False,Cliff's delta,negligible,no
hedge_C_count,semeval,ALL,AGAINST,overall,0.1495,0.1813,0.1823,0.093,small,negligible,False,Cliff's delta,negligible,no
hedge_D_count,semeval,ALL,AGAINST,overall,0.5527,0.6161,-0.0814,-0.0127,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,semeval,ALL,AGAINST,overall,0.2412,0.3492,0.1131,0.0174,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,semeval,ALL,AGAINST,overall,0.1577,0.4237,0.0969,0.0071,small,negligible,False,Cliff's delta,negligible,no
hedge_N_count,semeval,ALL,AGAINST,overall,0.9394,0.6252,-0.0087,-0.0156,small,negligible,False,Cliff's delta,negligible,no
C_ratio,semeval,ALL,AGAINST,overall,0.8123,0.8465,-0.0263,0.008,small,negligible,False,Cliff's delta,negligible,no
D_ratio,semeval,ALL,AGAINST,overall,0.6393,0.6337,-0.062,-0.012,small,negligible,False,Cliff's delta,negligible,no
E_ratio,semeval,ALL,AGAINST,overall,0.3108,0.3547,0.1011,0.0172,small,negligible,False,Cliff's delta,negligible,no
I_ratio,semeval,ALL,AGAINST,overall,0.1659,0.4237,0.095,0.0071,small,negligible,False,Cliff's delta,negligible,no
N_ratio,semeval,ALL,AGAINST,overall,0.9692,0.6314,0.0043,-0.0153,small,negligible,False,Cliff's delta,negligible,no
word_count,semeval,ALL,FAVOR,overall,0.1458,0.1836,-0.2665,-0.1563,small,small,False,Cliff's delta,small,no
sentence_count,semeval,ALL,FAVOR,overall,0.2019,0.2654,-0.3059,-0.1212,medium,negligible,False,Cliff's delta,negligible,no
avg_word_length,semeval,ALL,FAVOR,overall,0.1536,0.1493,-0.2653,-0.17,small,small,False,Cliff's delta,small,no
std_word_length,semeval,ALL,FAVOR,overall,0.2688,0.3609,-0.2338,-0.1078,small,negligible,False,Cliff's delta,negligible,no
type_token_ratio,semeval,ALL,FAVOR,overall,0.9612,0.7461,-0.0102,-0.0384,small,negligible,False,Cliff's delta,negligible,no
